Titulo,Ano,Duracao,Classificacao_Indicativa,Classificação_no_IMDb,Qtd_Avaliacoes,Direcao,Atores,Legenda,Prime_Video
De Volta para o Futuro,1985,1h 56m,Livre,"8,5","1,3 mi",Direção Robert Zemeckis,"Robert Zemeckis, Michael J. Fox, Christopher Lloyd","Marty McFly viaja para 1955 com a máquina do tempo do cientista Dr. Brown. Ele deve garantir que seus pais se apaixonem, para não arriscar sua própria existência.",https://www.imdb.com/showtimes/title/tt0088763/2023-10-22
A Viagem de Chihiro,2001,2h 5m,Livre,"8,6",813 mil,Direção Hayao Miyazaki,"Hayao Miyazaki, Daveigh Chase, Suzanne Pleshette","Durante a mudança de casa, uma menina de dez anos se maravilha num mundo de dioses, bruxas e espíritus e onde os humanos são transformados em bestas.",Sem link Prime
O Pianista,2002,2h 30m,14,"8,5",881 mil,Direção Roman Polanski,"Roman Polanski, Adrien Brody, Thomas Kretschmann",Um musico judeu luta para sobreviver a destruição de Varsóvia durante a segunda guerra mundial.,https://www.primevideo.com/detail/amzn1.dv.gti.d8b79c92-94a8-ce4e-4c80-d5bfcba1030a
Psicose,1960,1h 49m,14,"8,5",701 mil,Direção Alfred Hitchcock,"Alfred Hitchcock, Anthony Perkins, Janet Leigh","Uma secretária de Phoenix desvia dinheiro de um cliente de sua empresa, foge e vai a um motel remoto gerido por um jovem sob o domínio da mãe.",https://www.primevideo.com/detail/amzn1.dv.gti.8eb528b4-8a77-78f3-57d6-bb461948d594
Parasita,2019,2h 12m,16,"8,5",894 mil,Direção Bong Joon Ho,"Bong Joon Ho, Song Kang-ho, Lee Sun-kyun","Desempregados, a família de Ki-taek (Song Kang-ho) nutre um interesse peculiar pela família Park até que eles se veem presos em um inesperado incidente.",Sem link Prime
Gladiador,2000,2h 35m,14,"8,5","1,6 mi",Direção Ridley Scott,"Ridley Scott, Russell Crowe, Joaquin Phoenix",Um general romano planeja a melhor vingança contra o imperador corrupto que matou sua familia e o fez escravo.,https://www.primevideo.com/detail/amzn1.dv.gti.2a110cc9-da6a-4d14-ad80-b2091d0614ad
O Rei Leão,1994,1h 28m,Livre,"8,5","1,1 mi",Direção Roger AllersRob Minkoff,"Roger Allers, Rob Minkoff, Matthew Broderick",Um pequeno lion é obrigado por seu tío a fugir de casa e anos depois se da conta da sua identidade e suas responsabilidades.,Sem link Prime
O Profissional,1994,1h 50m,14,"8,5","1,2 mi",Direção Luc Besson,"Luc Besson, Jean Reno, Gary Oldman","Mathilda, uma menina de 12 anos é levada por Léon, um assassino profissional, depois que sua família é assassinada. Léon e Mathilda formam uma relação incomum, desde que ela se torna sua protegida.",https://www.primevideo.com/detail/amzn1.dv.gti.fab4b9d4-ed96-8083-a3fb-f85d2f62e8db
A Outra História Americana,1998,1h 59m,14,"8,5","1,2 mi",Direção Tony Kaye,"Tony Kaye, Edward Norton, Edward Furlong",Um neonazista tenta evitar que seu irmão mais novo tome o mesmo caminho errado que ele.,https://www.primevideo.com/detail/amzn1.dv.gti.34b528b4-60f3-d142-faca-47f23f240e7a
Os Infiltrados,2006,2h 31m,18,"8,5","1,4 mi",Direção Martin Scorsese,"Martin Scorsese, Leonardo DiCaprio, Matt Damon",Um policial disfarçado e um espião estão tentando se identificar enquanto se infiltram em uma gangue irlandesa no sul de Boston.,https://www.primevideo.com/detail/amzn1.dv.gti.2cb54975-53dc-c440-2479-089f5cf66ec3
